city,country,lat,lng,temp,humidity,cloudiness,wind_speed
Belmonte,BR,-15.86,-38.88,71.6,88,40,1.12
Igarka,RU,67.47,86.58,58.06,68,6,4.47
Kangaba,ML,11.93,-8.42,71.85,95,100,4.76
Morro Bay,US,35.37,-120.85,62.98,80,20,1.01
Cidreira,BR,-30.18,-50.21,66.0,89,98,7.05
Winslow,US,35.02,-110.7,89.6,22,1,11.41
Christchurch,NZ,-43.53,172.63,71.6,28,25,20.8
Churapcha,RU,62.0,132.43,57.74,51,100,11.27
Xanxerê,BR,-26.88,-52.4,62.6,77,0,4.25
Ust-Maya,RU,60.42,134.53,62.71,39,100,10.09
Taoudenni,ML,22.68,-3.98,92.95,44,10,13.06
Oruro,BO,-17.98,-67.15,49.73,50,17,6.31
Fairbanks,US,64.84,-147.72,62.83,48,40,5.82
Okhotsk,RU,59.38,143.3,59.86,44,13,4.16
Kwakoa,TZ,-3.77,37.72,67.15,77,99,0.49
Buala,SB,-8.14,159.59,86.05,69,26,8.48
Lavrentiya,RU,65.58,-171.0,50.74,65,0,10.76
Nicoya,CR,10.15,-85.45,75.72,92,100,1.74
Hearst,CA,49.68,-83.67,48.76,96,100,9.95
Bodden Town,KY,19.28,-81.25,85.01,84,20,5.82
Washougal,US,45.58,-122.35,69.21,43,0,5.99
Aitape,PG,-3.14,142.35,85.68,58,7,4.9
Leh,IN,34.17,77.58,55.58,40,1,6.2
Middelburg,ZA,-25.78,29.46,57.43,45,51,4.88
Olafsvik,IS,64.89,-23.71,52.03,92,100,13.13
Beloha,MG,-25.17,45.05,70.39,61,2,6.51
Noumea,NC,-22.28,166.46,73.4,46,48,19.46
Ilulissat,GL,69.22,-51.1,39.2,90,60,5.82
Gediz,TR,39.04,29.41,70.56,23,0,4.34
Hong Kong,HK,22.29,114.16,88.66,66,20,4.0
Saint-Philippe,RE,-21.36,55.77,58.12,77,76,5.82
Kota Kinabalu,MY,5.97,116.07,84.11,83,20,3.36
Nikolskoye,RU,59.7,30.79,52.5,87,75,8.95
Canatlán,MX,24.52,-104.78,73.4,56,90,8.05
Lugovoy,KZ,42.95,72.76,66.49,39,0,1.43
Pangnirtung,CA,66.15,-65.71,42.8,87,5,9.17
